day	bugsPerDay	cummBugs
1	0	0
2	1	1
3	0	1
4	2	3
5	1	4
6	0	4
7	0	4
8	0	4
9	0	4
10	0	4
11	0	4
12	0	4
13	3	7
14	1	8
15	2	10
16	0	10
17	0	10
18	0	10
19	0	10
20	0	10
21	0	10
22	2	12
23	0	12
24	0	12
25	0	12
26	0	12
27	0	12
28	1	13
29	0	13
30	0	13
31	0	13
32	0	13
33	0	13
34	1	14
35	0	14
36	0	14
37	0	14
38	0	14
39	1	15
40	0	15
41	0	15
42	0	15
43	0	15
44	0	15
45	1	16
46	1	17
47	3	20
48	2	22
49	0	22
50	0	22
51	2	24
52	16	40
53	42	82
54	26	108
55	3	111
56	10	121
57	0	121
58	1	122
59	4	126
60	36	162
61	34	196
62	2	198
63	0	198
64	0	198
65	0	198
66	2	200
67	7	207
68	1	208
69	4	212
70	0	212
71	0	212
72	0	212
73	3	215
74	2	217
75	4	221
76	3	224
77	1	225
78	0	225
79	0	225
80	1	226
81	0	226
82	1	227
83	1	228
84	0	228
85	0	228
86	0	228
87	1	229
88	1	230
89	1	231
90	0	231
91	1	232
92	0	232
93	0	232
94	1	233
95	1	234
96	1	235
97	0	235
98	1	236
99	0	236
100	0	236
101	1	237
102	0	237
103	0	237
104	0	237
105	0	237
106	0	237
107	0	237
108	0	237
109	0	237
110	0	237
111	0	237
112	0	237
113	0	237
114	0	237
115	0	237
116	0	237
117	0	237
118	0	237
119	1	238
120	0	238
121	1	239
122	0	239
123	0	239
124	0	239
125	0	239
126	0	239
127	1	240
128	0	240
129	0	240
130	0	240
131	0	240
132	1	241
133	0	241
134	0	241
135	1	242
136	6	248
137	5	253
138	0	253
139	0	253
140	2	255
141	0	255
142	0	255
143	0	255
144	1	256
145	1	257
146	19	276
147	17	293
148	0	293
149	6	299
150	22	321
151	1	322
152	2	324
153	4	328
154	0	328
155	0	328
156	0	328
157	1	329
158	1	330
159	2	332
160	5	337
161	2	339
162	0	339
163	0	339
164	2	341
165	2	343
166	0	343
167	3	346
168	1	347
169	0	347
170	0	347
171	1	348
172	1	349
173	6	355
174	2	357
175	0	357
176	0	357
177	0	357
178	4	361
179	5	366
180	1	367
181	4	371
182	9	380
183	0	380
184	2	382
185	6	388
186	11	399
187	6	405
188	1	406
189	0	406
190	0	406
191	1	407
192	1	408
193	4	412
194	1	413
195	5	418
196	4	422
197	0	422
198	0	422
199	0	422
200	3	425
201	2	427
202	1	428
203	1	429
204	0	429
205	0	429
206	2	431
207	0	431
208	0	431
209	5	436
210	3	439
211	0	439
212	0	439
213	6	445
214	1	446
215	16	462
216	10	472
217	12	484
218	0	484
219	0	484
220	4	488
221	2	490
222	1	491
223	2	493
224	3	496
225	0	496
226	1	497
227	1	498
228	3	501
229	4	505
230	3	508
231	5	513
232	0	513
233	0	513
234	9	522
235	8	530
236	0	530
237	2	532
238	0	532
239	0	532
240	0	532
241	0	532
242	1	533
243	1	534
244	12	546
245	4	550
246	0	550
247	1	551
248	11	562
249	15	577
250	2	579
251	1	580
252	0	580
253	0	580
254	0	580
255	0	580
256	4	584
257	4	588
258	9	597
259	6	603
260	0	603
261	0	603
262	4	607
263	0	607
264	2	609
265	8	617
266	4	621
267	0	621
268	0	621
269	4	625
270	1	626
271	3	629
272	12	641
273	3	644
274	0	644
275	2	646
276	6	652
277	11	663
278	8	671
279	13	684
280	1	685
281	0	685
282	0	685
283	2	687
284	9	696
285	0	696
286	0	696
287	1	697
288	0	697
289	0	697
290	2	699
291	1	700
292	0	700
293	0	700
294	3	703
295	1	704
296	0	704
297	2	706
298	0	706
299	5	711
300	1	712
301	0	712
302	0	712
303	1	713
304	0	713
305	1	714
306	6	720
307	1	721
308	6	727
309	0	727
310	0	727
311	7	734
312	2	736
313	3	739
314	3	742
315	1	743
316	0	743
317	0	743
318	7	750
319	1	751
320	2	753
321	1	754
322	1	755
323	0	755
324	0	755
325	1	756
326	3	759
327	2	761
328	1	762
329	2	764
330	0	764
331	0	764
332	0	764
333	2	766
334	2	768
335	0	768
336	0	768
337	0	768
338	0	768
339	2	770
340	1	771
341	2	773
342	1	774
343	4	778
344	0	778
345	0	778
346	4	782
347	1	783
348	11	794
349	1	795
350	1	796
351	0	796
352	0	796
353	2	798
354	4	802
355	10	812
356	4	816
357	1	817
358	1	818
359	0	818
360	2	820
361	4	824
362	9	833
363	11	844
364	5	849
365	2	851
366	0	851
367	4	855
368	7	862
369	13	875
370	7	882
371	1	883
372	0	883
373	0	883
374	4	887
375	6	893
376	18	911
377	14	925
378	1	926
379	0	926
380	5	931
381	6	937
382	6	943
383	7	950
384	4	954
385	0	954
386	5	959
387	0	959
388	7	966
389	6	972
390	11	983
391	7	990
392	0	990
393	1	991
394	4	995
395	3	998
396	9	1007
397	11	1018
398	3	1021
399	0	1021
400	0	1021
401	11	1032
402	21	1053
403	4	1057
404	4	1061
405	10	1071
406	14	1085
407	13	1098
408	3	1101
409	0	1101
410	0	1101
411	6	1107
412	6	1113
413	1	1114
414	0	1114
415	2	1116
416	14	1130
417	6	1136
418	7	1143
419	3	1146
420	0	1146
421	0	1146
422	1	1147
423	0	1147
424	4	1151
425	5	1156
426	1	1157
427	0	1157
428	1	1158
429	11	1169
430	4	1173
431	10	1183
432	8	1191
433	8	1199
434	0	1199
435	1	1200
436	1	1201
437	2	1203
438	3	1206
439	2	1208
440	2	1210
441	0	1210
442	0	1210
443	4	1214
444	1	1215
445	1	1216
446	3	1219
447	10	1229
448	15	1244
449	1	1245
450	2	1247
451	1	1248
452	4	1252
453	15	1267
454	6	1273
455	0	1273
456	1	1274
457	2	1276
458	2	1278
459	3	1281
460	4	1285
461	12	1297
462	2	1299
463	0	1299
464	3	1302
465	10	1312
466	17	1329
467	5	1334
468	14	1348
469	2	1350
470	0	1350
471	8	1358
472	8	1366
473	9	1375
474	10	1385
475	7	1392
476	0	1392
477	0	1392
478	2	1394
479	6	1400
480	4	1404
481	6	1410
482	15	1425
483	2	1427
484	1	1428
485	10	1438
486	17	1455
487	9	1464
488	8	1472
489	21	1493
490	1	1494
491	0	1494
492	22	1516
493	19	1535
494	9	1544
495	18	1562
496	13	1575
497	1	1576
498	0	1576
499	14	1590
500	2	1592
501	5	1597
502	6	1603
503	7	1610
504	0	1610
505	0	1610
506	1	1611
507	12	1623
508	7	1630
509	13	1643
510	9	1652
511	1	1653
512	0	1653
513	5	1658
514	9	1667
515	6	1673
516	11	1684
517	6	1690
518	2	1692
519	0	1692
520	9	1701
521	12	1713
522	4	1717
523	0	1717
524	41	1758
525	2	1760
526	1	1761
527	11	1772
528	15	1787
529	7	1794
530	24	1818
531	10	1828
532	1	1829
533	1	1830
534	8	1838
535	4	1842
536	2	1844
537	6	1850
538	8	1858
539	1	1859
540	0	1859
541	3	1862
542	12	1874
543	9	1883
544	14	1897
545	19	1916
546	3	1919
547	0	1919
548	9	1928
549	15	1943
550	16	1959
551	6	1965
552	5	1970
553	0	1970
554	10	1980
555	5	1985
556	9	1994
557	13	2007
558	19	2026
559	10	2036
560	1	2037
561	18	2055
562	7	2062
563	7	2069
564	3	2072
565	11	2083
566	8	2091
567	0	2091
568	1	2092
569	1	2093
570	4	2097
571	19	2116
572	9	2125
573	23	2148
574	1	2149
575	0	2149
576	3	2152
577	10	2162
578	15	2177
579	5	2182
580	6	2188
581	3	2191
582	0	2191
583	7	2198
584	4	2202
585	11	2213
586	6	2219
587	8	2227
588	2	2229
589	0	2229
590	8	2237
591	12	2249
592	12	2261
593	14	2275
594	5	2280
595	0	2280
596	0	2280
597	4	2284
598	5	2289
599	13	2302
600	23	2325
601	7	2332
602	0	2332
603	1	2333
604	7	2340
605	26	2366
606	224	2590
607	13	2603
608	7	2610
609	6	2616
610	0	2616
611	7	2623
612	7	2630
613	15	2645
614	17	2662
615	9	2671
616	6	2677
617	0	2677
618	13	2690
619	16	2706
620	11	2717
621	19	2736
622	85	2821
623	0	2821
624	0	2821
625	20	2841
626	7	2848
627	9	2857
628	3	2860
629	11	2871
630	1	2872
631	0	2872
632	19	2891
633	16	2907
634	38	2945
635	13	2958
636	10	2968
637	6	2974
