id	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	y1	y2	y3	y4	y5
11	6.48148	3	5	7.75	0	7.16667	8.16667	9.66667	6.16667	9	8	7	2	0	10	0	3.16667	7.75	0	3	1.66667	1.33333	0	1.66667	3.16667	0	0	0	1	5	7.44	1.18	4.38
12	5.74074	4	8	7.33333	8	8.83333	9.75	9.66667	9	10	10	8.66667	7	6.66667	8.5	6.2	7.41667	6	7	3.5	8.46667	7.33333	7	2.5	5.5	5	8.66667	8	4.5	4.25	8.93	2	6.03
25	7.59259	7	8	7.66667	8	9.66667	9.5	6.16667	9.66667	6.5	10	7.66667	10	9.5	9.66667	7.25	10	10	8	10	8.5	10	9	3.5	3.5	9	6.5	7	7.5	11	8.97	2	9.12
31	5.96297	4	8	9.33333	10	9.33333	7	8.5	9.66667	6.5	9	4	9	9.5	10	7.66667	10	4.5	7.5	2	0	0	0	0	0	0	0	0	4	6.25	8.93	1.82	6.41
48	5.44444	1	3.5	6.41667	9	8.5	7.08333	6.33333	9	7	9.5	5.16667	9	9	9.77778	0	9.33333	8	5	5.25	0	0	0	0	0	0	0	0	0	3	8.08	1.36	3.67
101	9.62963	10	8	7	6.66667	9	8.41667	7	0	0	5	8.66667	6	5.16667	10	10	10	0	10	10	10	10	0	0	0	0	8	0	4	6.25	8.04	1.27	6
151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	7.07408	4	6	5.75	7.66667	6.33333	5.33333	3.33333	8	4	5	5.83333	6	5	10	9.25	0	10	5	7.25	10	7.16667	8	9	10	8	10	10	2	3	6.3	2	3.99
177	9.25926	0	7.5	9.75	7	9.5	7.08333	3.66667	7.33333	7.5	7.25	7.33333	6	7.83333	8.33333	0	7.66667	10	8.5	2	0	0	0	0	0	0	0	0	4	7	8.03	1.45	6.27
193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	6.11111	10	10	9.66667	9	8	7.91667	8	9	7	7.5	8	9	10	8.27778	9	6.66667	0	0	5.5	6.96667	7.5	9.5	6	0	7	4	7	7	9.5	9.07	2	8.52
276	6.48148	10	8.5	8.75	7	10	8	6	8.66667	7	10	6	3	6.66667	8.94444	6.86667	5.25	8.25	7	7	5.03333	7.16667	7	3	6.5	0	2.75	0	7.5	8.75	8.46	2	8.29
283	6.11111	5	8	7	6	9.33333	7.75	7.5	7.66667	7	5	3.66667	6	7.83333	9	10	10	9.5	8	2	0	9.16667	10	2.83333	4.5	7.5	0	0	4	8	7.42	1.73	6.46
316	7.96297	8	6	8.66667	5	8	6.75	8	5	5	8.66667	9	8.5	7.5	10	10	10	10	8	9.5	8.5	3.33333	2.5	3.33333	0	6	8	7	7	5.5	8.11	2	7.03
320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
337	6.11111	9	8	8.66667	10	8.5	9	6	0	8	9.5	8.66667	7	0	10	10	9.5	8.25	7.5	4	7.66667	0	0	1	0	0	4	0	6	8.25	8.63	1.55	7.55
365	8.98148	10	7.75	9.25	7	10	8.41667	7.5	9.66667	9	6.75	8	8	6.66667	10	10	6.16667	7.5	6.5	8	2.43333	5	5.5	2.16667	5	7.16667	3	7.5	4	5.5	8.91	2	6.22
380	5.46297	10	8.5	7.33333	6.66667	6.66667	5.75	9.66667	6	9	9.66667	10	10	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3	6.5	9.08	2	6.23
414	8.7037	7	9	6.41667	7	0	4.58333	3.16667	0	7	7	6	0	6.66667	2.66667	0	4.83333	7.75	8.5	7	7.3	0	1	0	0	0	0	0	0	0	6.94	2	2.58
415	6.38889	0	2.5	8.66667	7.5	4.66667	6.58333	6.66667	6.66667	6	5	5	5	2	10	7	4.66667	10	9	10	9	10	10	10	10	10	10	10	4	1.5	6.35	1.82	4.21
428	9.48148	10	9	7.66667	10	10	7.75	8	10	8.5	10	10	10	8.66667	10	8	10	9.5	9	9	7.3	8.08333	9.5	3.66667	6	6.16667	5.25	0	10	8.5	9.72	2	9.46
445	10	3	6.5	9.75	9	9	9	9	8.66667	4.5	9	8.33333	9	9.5	10	10	3.75	9	10	10	9.46667	10	0	10	10	0	10	0	3	6.75	9.19	2	6.33
473	10	0	0	8.33333	4.5	6	10	9	7.66667	0	10	4.16667	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3.75	8.55	0	5.09
